GEOGRAPHICAL_BOROUGH_NAME,NEW_BOROUGH_GROUPING,RAM,CONSOLIDATED_NAME,CONSOLIDATED_TDS_NUM,DEVELOPMENT_NAME,TDS_NUM,ADDRESS_LINE_1,BUILDING_NUM,LOCATION,LOCATION_TYPE,OWNERGROUP,SOURCESYSID,CALL_CENTER_TYPE,PARENT,WONUM,TRADE_TYPE,CRAFT_DESCRIPTION,FAILURECODE,PROBLEMCODE,WOPRIORITY,REPORTDATE,ZZCREATEDATE,SCHEDSTART,TARGSTARTDATE,ACTSTART,ACTFINISH,STATUS,STATUSDATE,DISPOSITION_DESC,DISPOSITION_SUB_DESC,WORK_DONE_DESC,ZZSUBWORKTYPE,CAUSE,REMEDY,ZZRESCODE,LAST_LABTRANS_TRANSTYPE,TOTAL_REPAIRS_DONE,REPAIRS_DONE_LIST,VANDALISM_CODE,ZZCOURTORDER,ZZRRPWORKREQUIRED,ZZRRPWORKAMOUNT,DESCRIPTION,Days to Complete Or Still Open,TDS,BUILDING,STAIRHALL,ROOM
Manhattan,Manhattan,MOLINA,Lehman Village,101,LEHMAN,101,1641 MADISON AVENUE,01,101.01,BUILDING,DEV101,MAXIMO,Non-CCC,69323713,69486024,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-10-13,2019-10-13,,,2019-10-13,2019-10-13,CLOSE,2019-10-15,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,2.0,STOPPAGECLEARED;MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.057847,101,01,,
Brooklyn,Mixed Finance,HIPPS,Bay View,92,BAY VIEW,92,1580 EAST 102ND STREET,12,092.12,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72569814,72569814,MAINTENANCE,Maintenance,COMPACTOR,COMPACTORLEAKING,3,2020-02-18,2020-02-18,,,2020-02-20,2020-02-20,CLOSE,2020-02-22,CLOSED,Closed,Work Done,BUILDING,NORMALWEAR,REMEDY,,WORK,1.0,BRICKSPOINTED,0,0,,,COMPACTOR - MAINT,2.063484,092,12,,
Bronx,Bronx,TOLOZANO,Soundview,71,SOUNDVIEW,71,1670 SEWARD AVENUE,04,071.04,BUILDING,DEV071,MAXIMO,Non-CCC,72330995,72583632,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-19,2020-02-19,,,2020-02-20,2020-02-20,CLOSE,2020-03-09,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order? 1670 Seward Ave.,1.280648,071,04,,
Bronx,Mixed Finance,DINGLE,Saint Mary's Park,93,SAINT MARY'S PARK,93,550 CAULDWELL AVENUE,01,093.01,BUILDING,DEV093,MAXIMO,Non-CCC,68589988,68976483,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-10,2019-09-10,,,2019-09-11,2019-09-11,CLOSE,2019-10-30,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are interior compactors in good working order?,0.712593,093,01,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,HYLAN,109,131 MOORE STREET,01,109.01,BUILDING,DEV086,MAXIMO,Non-CCC,68014870,68414320,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-08-22,2019-08-22,,,2019-08-22,2019-08-22,CLOSE,2019-08-22,CLOSED,Inspection,Work Done,,,,,INSPECTION,,,0,0,,,DUPLICATE 68358030,0.004769,109,01,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,BUSHWICK,86,390 BUSHWICK AVENUE,05,086.05,BUILDING,DEV086,MAXIMO,Non-CCC,67968807,68001740,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-07-31,2019-07-31,,,2019-08-05,2019-08-05,CLOSE,2019-08-06,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,5.05353,086,05,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1955 2ND AVENUE,06,062.06,BUILDING,DEV062,MAXIMO,Non-CCC,73314842,73341799,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-04-04,2020-04-04,,,2020-04-05,2020-04-05,CLOSE,2020-04-05,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.7946529999999999,062,06,,
Brooklyn,NGO1,KORBUL,Van Dyke I,61,VAN DYKE I,61,390 SUTTER AVENUE,03,061.03,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72401901,72401901,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-02-05,2020-02-05,,,2020-02-06,2020-02-06,CLOSE,2020-02-08,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,compactor 000,0.827998,061,03,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1955 2ND AVENUE,06,062.06,BUILDING,DEV062,MAXIMO,Non-CCC,73576564,73589921,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-05-02,2020-05-02,,,2020-05-04,2020-05-04,CLOSE,2020-05-04,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,1.842627,062,06,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,1470 AMSTERDAM AVENUE,05,081.05,BUILDING,DEV081,MAXIMO,Non-CCC,69972382,70001483,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-11-03,2019-11-03,2019-11-08,2019-11-08,2019-11-08,2019-11-08,CLOSE,2019-11-08,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are compactor rooms clean and in good condition?,5.013866,081,05,,
Brooklyn,Brooklyn,MAYNARD,Roosevelt,135,ROOSEVELT II,177,50 STUYVESANT AVENUE,09,177.09,BUILDING,DEV135,MAXIMO,Non-CCC,69318965,69588279,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-10-18,2019-10-18,,,2019-10-21,2019-10-21,CLOSE,2019-10-21,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are interior compactors in good working order? rat infestation - hoppers closed,2.647095,177,09,,
Manhattan,Manhattan,GADSON,King Towers,30,KING TOWERS,30,70 WEST 115TH STREET,,030,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,72650965,72650965,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMDAMAGED,3,2020-02-24,2020-02-24,,,2020-03-02,2020-03-02,CLOSE,2020-03-03,CLOSED,Inspection,Work Done,,,,,INSPECTION,,,0,0,,,EXTERIORCOMPACTOR - MAINT,6.724467999999999,030,,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,HYLAN,109,131 MOORE STREET,01,109.01,BUILDING,DEV086,MAXIMO,Non-CCC,68593872,68697035,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-09-04,2019-09-04,,,2019-09-04,2019-09-04,CLOSE,2019-09-06,CLOSED,No Work Done with Sequence,Work Not Done,,,,,NOWORKDONEWITHSEQ,,,0,0,,,Are compactor rooms clean and in good condition?,0.056805999999999995,109,01,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1895 2ND AVENUE,03,062.03,BUILDING,DEV062,MAXIMO,Non-CCC,72341492,72573701,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-18,2020-02-18,,,2020-02-19,2020-02-19,CLOSE,2020-02-19,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.8478469999999999,062,03,,
Bronx,Bronx,TOLOZANO,Soundview,71,SOUNDVIEW,71,1680 RANDALL AVENUE,11,071.11,BUILDING,DEV071,MAXIMO,Non-CCC,72330995,72583858,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-19,2020-02-19,,,2020-02-19,2020-02-19,CLOSE,2020-03-09,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order? 1686 Randall Ave.,0.042384,071,11,,
Manhattan,Manhattan,SUGGS,Dyckman,41,DYCKMAN,41,3798 10TH AVENUE,08,041.08,BUILDING,DEV041,MAXIMO,Non-CCC,68018306,68066185,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-05,2019-08-05,,,2019-08-06,2019-08-06,CLOSE,2019-08-14,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order? 67879107,0.817037,041,08,,
Manhattan,Mixed Finance,HIPPS,Chelsea,134,ELLIOTT,15,427 WEST 26TH STREET,04,015.04,BUILDING,DEV134,MAXIMO,Non-CCC,69323158,69560401,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-10-17,2019-10-17,,,2019-10-17,2019-10-17,CLOSE,2019-10-18,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are compactor rooms clean and in good condition?,0.17294,015,04,,
Brooklyn,Mixed Finance,HIPPS,Linden,95,LINDEN,95,580 STANLEY AVENUE,02,095.02,BUILDING,DEV095,MAXIMO,Non-CCC,68014822,68339878,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-08-20,2019-08-20,,,2019-08-26,2019-08-26,CLOSE,2019-08-26,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,2.0,MACHINECLEANED;MACHINEUNJAMMED,0,0,,,Are compactor rooms clean and in good condition?,5.839363,095,02,,
Brooklyn,Brooklyn,MIDDLETON,Reid Apartments,167,LENOX ROAD-ROCKAWAY PARKWAY,348,1142 LENOX ROAD,01,348.01,BUILDING,ESD,MAXIMO,Non-CCC,72729918,72729918,MAINTENANCE,Maintenance,COMPACTOR,FIRE,7,2020-02-29,2020-02-29,,,2020-02-29,2020-02-29,CLOSE,2020-02-29,CLOSED,No Work Done with Sequence,Work Not Done,,,,,NOWORKDONEWITHSEQ,,,0,0,,,FDNY 329 REPORTS COMPACTOR FIRE. SPRKLR ALM SYSTEM S/D,0.072072,348,01,,
Manhattan,Manhattan,SUGGS,Harlem River,3,MARSHALL PLAZA,344,1970 AMSTERDAM AVENUE,,344,DEVELOPMENT,DEV003,MAXIMO,Non-CCC,72366618,72366618,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-02-03,2020-02-03,,,2020-02-03,2020-02-03,CLOSE,2020-02-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,STOPPAGECLEARED,0,0,,,FIRE WATCH.... 2 CARETAKERS... # 59473 & 7159,0.8402780000000001,344,,,
Manhattan,Manhattan,ALLEN,La Guardia,76,LA GUARDIA,76,300 CHERRY STREET,04,076.04,BUILDING,DEV076,MAXIMO,Non-CCC,68018658,68093590,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-07,2019-08-07,,,2019-08-07,2019-08-07,CLOSE,2019-08-07,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,TRANSITIONCHUTECLEANED,0,0,,,Are interior compactors in good working order? work order 67850418,0.012616,076,04,,
Manhattan,Mixed Finance,DINGLE,Amsterdam,22,HARBORVIEW TERRACE,262,520 WEST 56TH STREET,01,262.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65791005,65791005,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-03-05,2019-03-05,,,2019-03-07,2019-03-07,CLOSE,2019-03-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,1.7754860000000001,262,01,,
Queens,Queens-Staten Island,DREW,Redfern,55,REDFERN,55,14-78 BEACH CHANNEL DRIVE,04,055.04,BUILDING,QSELEC,MAXIMO,Non-CCC,65456517,65456517,SKILLED TRADES,Electrician,EXTERIORCOMPACTOR,EXPOSEDWIRES,3,2019-02-06,2019-02-06,,,2019-02-06,2019-02-06,CLOSE,2019-02-06,CLOSED,Closed,Work Done,,ACCIDENTALDAMAGE,REMEDY,,WORK,2.0,WALLREPAIRED;SHORTREPAIRED,0,0,,,EXTERIOR COMPACTOR - ELECTRCN,0.291667,055,04,,
Brooklyn,Brooklyn,HALL,Kingsborough,10,KINGSBOROUGH,10,553 KINGSBOROUGH 5TH WALK,12,010.12,BUILDING,DEV010,MAXIMO,Non-CCC,68015224,68031768,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2019-08-01,2019-08-01,,,2019-08-07,2019-08-07,CLOSE,2019-08-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,BRICKSREPLACED,0,0,,,Are compactor rooms clean and in good condition?,5.710903,010,12,,
Bronx,Mixed Finance,WALTON,Castle Hill,80,CASTLE HILL,80,2160 SEWARD AVENUE,02,080.02,BUILDING,DEV080,MAXIMO,Non-CCC,68009993,68025426,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-01,2019-08-01,,,2019-08-02,2019-08-02,CLOSE,2019-08-22,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.8526389999999999,080,02,,
Manhattan,Manhattan,SUGGS,Harlem River,3,BETHUNE GARDENS,160,1945 AMSTERDAM AVENUE,01,160.01,BUILDING,MNPAINT,MAXIMO,Non-CCC,72055719,72055719,SKILLED TRADES,Painter,COMPACTOR,NEEDSPAINTING,3,2020-01-13,2020-01-13,,,2020-02-26,2020-02-26,CLOSE,2020-02-26,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,Completed,43.956944,160,01,,
Queens,Queens-Staten Island,CORIOLAN,Woodside,33,WOODSIDE,33,31-76 51ST STREET,15,033.15,BUILDING,DEV033,MAXIMO,Non-CCC,71372268,71416753,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-12-03,2019-12-03,,,2019-12-11,2019-12-11,CLOSE,2019-12-11,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order? 31-80 ooo,7.898009,033,15,,
Bronx,Bronx,BETHEA,Bronx River,32,BRONX RIVER,32,1595 EAST 174TH STREET,08,032.08,BUILDING,DEV032,MAXIMO,Non-CCC,72942796,72942796,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-03-13,2020-03-13,,,2020-03-13,2020-03-13,CLOSE,2020-03-24,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,CHUTESHUTOFFGATEPAINTED,0,0,,,MWK RIVERA REPORTS SEARCH NEGATIVE PO SALVATRERRA # 21695  PSA # 8,0.143032,032,08,,
Brooklyn,NGO1,KORBUL,Brownsville,16,BROWNSVILLE,16,345 DUMONT AVENUE,26,016.26,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72781681,72781681,MAINTENANCE,Maintenance,COMPACTOR,FULLBAGSWITCHOOO,3,2020-03-03,2020-03-03,,,2020-03-05,2020-03-05,CLOSE,2020-03-06,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,REARLIMITSWITCHREPAIRED;LASTBAGSWITCHREPLACED,0,0,,,COMPACTOR - MAINT,2.06434,016,26,,
Manhattan,NGO1,TURNER,East River,9,EAST RIVER,9,425GAR EAST 102ND STREET,11,009.11,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65910402,65910402,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-03-17,2019-03-17,,,2019-03-19,2019-03-19,CLOSE,2019-03-20,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,EZ PAC #2 HOSE IS LEAKING HYDRAULIC OIL,2.173623,009,11,,
Brooklyn,Brooklyn,MAYNARD,Cooper Park,69,COOPER PARK,69,290 FROST STREET,04,069.04,BUILDING,DEV069,MAXIMO,Non-CCC,68595041,68640063,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-03,2019-09-03,,,2019-09-05,2019-09-05,CLOSE,2019-09-23,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,DOORSAFETYSWITCHREPAIRED,0,0,,,Are interior compactors in good working order?,1.68897,069,04,,
Brooklyn,NGO1,KORBUL,Van Dyke I,61,VAN DYKE I,61,410 SUTTER AVENUE,02,061.02,BUILDING,DEV061,MAXIMO,Non-CCC,72930834,72930834,SKILLED TRADES,Vendor,COMPACTOR,NEEDSCLEANING,3,2020-03-12,2020-03-12,,,2020-04-14,2020-04-14,CLOSE,2020-04-14,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,LADDERREPAIRED,0,0,N,,repair roller 410 sutter,33.183762,061,02,,
Manhattan,Private Mgmt,WILLIAMS,Kraus Management (MB 1),359,REHAB PROGRAM (TAFT REHABS),516,95 WEST 119TH STREET,03,516.03,BUILDING,DEV370,MAXIMO,Non-CCC,65454038,65454038,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,SIGNSDML,3,2019-02-06,2019-02-06,,,2019-02-06,2019-02-06,CLOSE,2019-02-11,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,REBARREPAIRED;LOCKREPAIRED,0,0,,,EXTERIORCOMPACTOR - MAINT,0.229375,516,03,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,225 EAST 99TH STREET,05,062.05,BUILDING,DEV062,MAXIMO,Non-CCC,73478247,73478247,SKILLED TRADES,Vendor,COMPACTOR,NEEDSCLEANING,3,2020-04-23,2020-04-23,,,2020-04-23,2020-04-23,CLOSE,2020-04-23,CLOSED,Closed,Work Done,BUILDING,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,N,,caretaker did work 9am-12pm,0.006285,062,05,,
Manhattan,Manhattan,ALLEN,Wald,23,WALD,23,930 EAST 4TH WALK,08,023.08,BUILDING,TSDWASTE,MAXIMO,Non-CCC,64984781,64984781,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,CONTAINERFRONTROLLER,3,2019-01-03,2019-01-03,,,2019-01-11,2019-01-11,CLOSE,2019-01-11,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,exterior compactor 2 and 3 need wheels rep,8.040104,023,08,,
Manhattan,Manhattan,MOLINA,Lehman Village,101,LEHMAN,101,70 EAST 108TH STREET,04,101.04,BUILDING,DEV101,MAXIMO,Non-CCC,72748930,72862549,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-03-06,2020-03-06,,,2020-03-09,2020-03-09,CLOSE,2020-03-13,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,STOPPAGECLEARED,0,0,,,rehards Plumbing check,2.732269,101,04,,
Brooklyn,Brooklyn,MAYNARD,Roosevelt,135,ROOSEVELT II,177,93 LEWIS AVENUE,07,177.07,BUILDING,DEV135,MAXIMO,Non-CCC,68595317,69216203,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-25,2019-09-25,,,2019-09-25,2019-09-25,CLOSE,2019-09-26,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,MACHINEUNJAMMED;MACHINECLEANED,0,0,,,TSD WASTE WO# pending,0.047234,177,07,,
Brooklyn,Brooklyn,MIDDLETON,Cypress Hills,70,CYPRESS HILLS,70,315 FOUNTAIN AVENUE,03,070.03,BUILDING,DEV070,MAXIMO,Non-CCC,68593737,69114337,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-20,2019-09-20,,,,,CLOSE,2019-09-28,CLOSED,Service Restored,Work Not Done,,,,SERVREST,,,,0,0,,,Are interior compactors in good working order?,8.078345,070,03,,
Manhattan,Manhattan,SUGGS,Polo Grounds Towers,149,POLO GROUNDS TOWERS,149,2981A F DOUGLASS BOULEVARD,06,149.06,BUILDING,DEV149,MAXIMO,Non-CCC,67224584,67224584,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,LIGHTSOOO,3,2019-06-16,2019-06-16,,,2019-06-16,2019-06-16,CLOSE,2019-06-16,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,COMPACTOR SEARCH MISSING 10YR OLD GIRL,0.025324,149,06,,
