1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,,26%,19%,7%,7%,32%,1%,8%,21.05,18.02,26.67,6.19,4.32,5.65,13.33,,,,,,,
DEVELOPMENT,DATA AS OF,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,Total,Trash (tons/day),MGP (tons/day),Cardboard (tons/day),Paper (tons/day),Organics (tons/day),E-Waste (tons/day),Textiles (tons/day),Trash (CY/day),MGP (CY/day),Cardboard (CY/day),Paper  (CY/day),Organics (CY/day),E-Waste (CY/day),Textiles (CY/day),Trash (Gallons),MGP (Gallons),Cardboard (Gallons),Paper(Gallons),Organics (Gallons),E-Waste (Gallons),Textiles (Gallons)
BORINQUEN PLAZA II,1/1/19,NY005012430,271,243,390,353,NY005195,FEDERAL,TURNKEY,NEW CONST,,425,425,2265.5,5.33,,1123,1123,149,0.351,7,0,7,7,184000,4.22,184000,4.22,61115,4223000,0.3321,266,16411918,7244,612,BOERUM ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/75,,,,,1.0625,0.27625,0.0524875,0.003674125,0.000257189,8.23004E-05,8.23004E-07,6.58403E-08,5.8150625,0.94582475,0.097988914,0.001591998,0.000355538,4.64997E-06,8.77651E-07,1174.491433,191.0320081,19.79121287,0.321542277,0.071809377,0.000939174,0.000177263
BOSTON ROAD PLAZA,1/1/19,NY005010390,189,39,304,304,NY005095,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,232,235,814,3.51,,276,276,207,0.892,1,1,2,20,84416,1.94,84416,1.94,15045,1589318,0.1782,142,7125145,8452,368,MACE AVE,HOLLAND AVE,WARING AVE,BOSTON RD,BRONX,11,14,34,80,13,8/31/72,,EXCLUSIVELY,,,0.58,0.1508,0.028652,0.00200564,0.000140395,4.49263E-05,4.49263E-07,3.59411E-08,3.17434,0.51630904,0.053490419,0.000869044,0.000194082,2.53834E-06,4.79094E-07,641.1341472,104.281002,10.80367385,0.175524255,0.039199472,0.000512678,9.67646E-05
BOSTON SECOR,1/1/19,NY005011380,138,138,254,254,NY005060,FEDERAL,CONVENTIONAL,NEW CONST,,538,538,2487,4.62,,1322,1322,184,0.346,4,2,5,13-14-17-18,612889,14.07,612889,14.07,36181,4849474,0.059,94,11894964,4778,566,IRT-DYRE AVE LINE,BOSTON RD,STEENWICK AVE,,BRONX,12,16,36,83,12,4/30/69,,,,,1.345,0.3497,0.066443,0.00465101,0.000325571,0.000104183,1.04183E-06,8.33461E-08,7.361185,1.19730286,0.124042437,0.002015283,0.000450069,5.88632E-06,1.111E-06,1486.767979,241.8240478,25.05334711,0.407034695,0.090902223,0.001188883,0.000224394
BOULEVARD,1/1/19,NY005020460,46,46,637,637,NY005369,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,438,1424,1441,5992,4.21,846,1850,2696,581,0.416,18,0,30,43630,1127650,25.89,1127650,25.89,170051,12141094,0.1508,104,13645438,2247,518,LINDEN BLVD,ASHFORD ST,WORTMAN AVE,SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/51,,,,,3.56,0.9256,0.175864,0.01231048,0.000861734,0.000275755,2.75755E-06,2.20604E-07,19.48388,3.16906928,0.328320502,0.005334131,0.001191261,1.55801E-05,2.94065E-06,3935.237179,640.0695988,66.31220499,1.077355771,0.240603654,0.003146784,0.000593935
BOYNTON AVENUE REHAB,1/1/19,NY005010320,346,32,767,533,NY005249,FEDERAL,TURNKEY,REHAB,,82,82,367,4.48,,182,182,29,0.358,3,0,3,43561,30000,0.69,30000,0.69,16455,999600,0.5485,264,4943129,13396,476,WATSON AVE,WARD AVE,BRUCKNER BLVD,ELDER AVE,BRONX,9,15,32,85,18,8/22/85,,,YES,,0.205,0.0533,0.010127,0.00070889,4.96223E-05,1.58791E-05,1.58791E-07,1.27033E-08,1.121965,0.18248854,0.018906096,0.000307162,6.85979E-05,8.97171E-07,1.69335E-07,226.6077589,36.85794038,3.818539894,0.062038745,0.013854986,0.000181205,3.42013E-05
BRACETTI PLAZA,1/1/19,NY005012920,264,337,379,370,NY005185,FEDERAL,TURNKEY,NEW CONST,,108,108,538,4.98,,257,257,47,0.439,1,0,2,7,44353,1.02,44353,1.02,18790,1216072,0.4236,252,4364419,8008,596,E 3RD ST,AVENUE C,E 4TH ST,AVENUE B,MANHATTAN,3,12,26,74,2,5/31/74,,,,,0.27,0.0702,0.013338,0.00093366,6.53562E-05,2.0914E-05,2.0914E-07,1.67312E-08,1.47771,0.24035076,0.024900712,0.000404555,9.03484E-05,1.18164E-06,2.23027E-07,298.4589995,48.5446044,5.029296446,0.081709567,0.01824803,0.000238661,4.50456E-05
BREUKELEN,1/1/19,NY005000560,56,56,212,212,NY005011,FEDERAL,CONVENTIONAL,NEW CONST,,1592,1595,7460,4.69,,3476,3476,539,0.343,30,2,97,43531,2830416,64.98,2141741,49.17,360423,14297000,0.1273,53,18410273,2464,544,STANLEY AVE,FLATLANDS AVE,E 103RD ST,WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/52,,,,,3.98,1.0348,0.196612,0.01376284,0.000963399,0.000308288,3.08288E-06,2.4663E-07,21.78254,3.54294824,0.367054943,0.005963439,0.001331803,1.74183E-05,3.28758E-06,4399.506734,715.5834278,74.13555502,1.204459542,0.268989478,0.003518034,0.000664006
BREVOORT,1/1/19,NY005000650,65,65,213,213,NY005017,FEDERAL,CONVENTIONAL,NEW CONST,,894,896,4187,4.68,,1918,1918,330,0.371,13,1,27,7,751896,17.26,687188,15.78,121363,7735916,0.1614,111,11831887,2849,571,BAINBRIDGE ST,RALPH AVE,FULTON ST,PATCHEN AVE,BROOKLYN,3,8,25,55,41,8/10/55,,,,,2.235,0.5811,0.110409,0.00772863,0.000541004,0.000173121,1.73121E-06,1.38497E-07,12.232155,1.98957018,0.206122562,0.003348815,0.000747884,9.78135E-06,1.84617E-06,2470.577274,401.8414475,41.63139836,0.676373637,0.151053137,0.001975579,0.000372877
BRONX RIVER,1/1/19,NY005010320,32,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST,,1245,1246,5942.5,4.77,,2998,2998,464,0.375,9,1,10,14,607297,13.94,563737,12.94,84235,10772413,0.1387,215,12719000,2131,512,BRONX RIVER AVE,HARROD AVE,E 174TH ST,,BRONX,9,15,32,85,18,2/28/51,1978/07/01-ATP 3,,,,3.1125,0.80925,0.1537575,0.010763025,0.000753412,0.000241092,2.41092E-06,1.92873E-07,17.0347125,2.77071015,0.287049877,0.004663619,0.001041516,1.36217E-05,2.571E-06,3440.569022,559.6114118,57.97661181,0.94192973,0.210359234,0.002751226,0.000519276
BRONX RIVER ADDITION,1/1/19,NY005010320,157,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,226,226,640,2.83,,241,241,206,0.928,2,0,2,43630,62500,1.43,62500,1.43,12286,1529115,0.1966,169,3928000,6128,290,E 172ND ST,E 174TH ST,MANOR AVE,HARROD AVE,BRONX,9,15,32,85,18,2/28/66,1978/07/01-ATP 3,EXCLUSIVELY,,,0.565,0.1469,0.027911,0.00195377,0.000136764,4.37644E-05,4.37644E-07,3.50116E-08,3.092245,0.50295622,0.052107046,0.000846569,0.000189062,2.47269E-06,4.66704E-07,624.5530916,101.5840796,10.52426849,0.170984834,0.038185692,0.000499419,9.42621E-05
BROWN,1/1/19,NY005012520,325,252,336,336,NY005277,FEDERAL,TURNKEY,NEW CONST (ELD),,200,200,700,3.5,,220,220,179,0.904,2,0,2,6,99460,2.28,99460,2.28,29354,1493904,0.2951,96,13425060,19179,368,EASTERN PKWY,PROSPECT PL,HOPKINSON AVE,SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,7/23/85,,EXCLUSIVELY,YES,,0.5,0.13,0.0247,0.001729,0.00012103,3.87296E-05,3.87296E-07,3.09837E-08,2.7365,0.445094,0.04611243,0.000749176,0.000167312,2.18822E-06,4.13012E-07,552.701851,89.89741556,9.313511937,0.151314013,0.033792648,0.000441964,8.34178E-05
BROWNSVILLE,1/1/19,NY005000160,16,16,512,512,NY005213D,FEDERAL,CONVENTIONAL,NEW CONST,,1336,1338,6279,4.7,,3166,3166,416,0.316,27,0,46,43623,819997,18.82,732841,16.82,188564,10371638,0.23,168,12898000,2054,520,SUTTER AVE,DUMONT AVE,MOTHER GASTON BLVD,ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,4/16/48,1977/07/01-ATP 1,,,,3.34,0.8684,0.164996,0.01154972,0.00080848,0.000258714,2.58714E-06,2.06971E-07,18.27982,2.97322792,0.308031032,0.005004494,0.001117643,1.46173E-05,2.75892E-06,3692.048365,600.5147359,62.21425974,1.010777606,0.225734889,0.00295232,0.000557231
BRYANT AVENUE-EAST 174TH STREET,1/1/19,NY005015300,235,530,352,748,NY005145,FEDERAL,TURNKEY,NEW CONST,,72,72,284,3.94,,135,135,33,0.465,1,0,1,6,22500,0.52,22500,0.52,9879,672864,0.4391,260,2132334,7315,519,E 174TH ST,BRYANT AVE,E 173RD ST,VYSE AVE,BRONX,3,15,32,79,17,8/31/72,,,,YES,0.18,0.0468,0.008892,0.00062244,4.35708E-05,1.39427E-05,1.39427E-07,1.11541E-08,0.98514,0.16023384,0.016600475,0.000269703,6.02323E-05,7.8776E-07,1.48684E-07,198.9726664,32.3630696,3.352864297,0.054473045,0.012165353,0.000159107,3.00304E-05
BUSHWICK,1/1/19,NY005020860,86,86,430,430,NY005370,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209,1219,1220,5669.5,4.65,555,2288,2843,499,0.413,8,0,8,13-20,697736,16.02,639260,14.68,78768,11288105,0.1129,177,20346000,3599,541,HUMBOLDT ST,MOORE ST,BUSHWICK AVE,FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/60,,,,,3.0475,0.79235,0.1505465,0.010538255,0.000737678,0.000236057,2.36057E-06,1.88846E-07,16.6789675,2.71284793,0.281055261,0.004566226,0.001019766,1.33372E-05,2.51731E-06,3368.717782,547.9247478,56.76585525,0.922258908,0.20596619,0.002693771,0.000508431
BUSHWICK II (GROUPS A & C),1/1/19,NY005012470,302,247,565,546,NY005222,FEDERAL,TURNKEY,NEW CONST,,299,300,1446.5,4.84,,716,716,125,0.418,25,0,25,3,402930,9.25,402930,9.25,102600,3200584,0.2546,77,20840392,14235,607,CENTRAL AVE,HARMAN AVE,GREEN AVE,HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",7/19/84,,,YES,,0.7475,0.19435,0.0369265,0.002584855,0.00018094,5.79008E-05,5.79008E-07,4.63206E-08,4.0910675,0.66541553,0.068938083,0.001120018,0.000250131,3.27139E-06,6.17454E-07,826.2892672,134.3966363,13.92370035,0.226214449,0.050520009,0.000660736,0.00012471
BUSHWICK II (GROUPS B & D),1/1/19,NY005012470,303,247,566,546,NY005240,FEDERAL,TURNKEY,NEW CONST,,300,300,1450,4.83,,702,702,121,0.405,25,1,27,3,440392,10.11,440392,10.11,102600,3200584,0.233,69,19608177,13339,584,GATES AVE,WILSON AVE,MADISON AVE,EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",7/5/84,,,YES,,0.75,0.195,0.03705,0.0025935,0.000181545,5.80944E-05,5.80944E-07,4.64755E-08,4.10475,0.667641,0.069168645,0.001123764,0.000250968,3.28233E-06,6.19519E-07,829.0527765,134.8461233,13.97026791,0.226971019,0.050688972,0.000662946,0.000125127
BUSHWICK II CDA (GROUP E),1/1/19,NY005012470,324,247,758,546,NY005263,FEDERAL,TURNKEY,NEW CONST,,276,276,1212,4.39,,555,555,153,0.558,5,0,37,3,300000,6.89,300000,6.89,84230,2198403,0.2808,81,20078888,16539,543,KNICKERBOCKER AVE,WILSON AVE,GATES AVE,MENAHAN ST,BROOKLYN,4,7,18,53,37,12/10/86,,,YES,,0.69,0.1794,0.034086,0.00238602,0.000167021,5.34468E-05,5.34468E-07,4.27575E-08,3.77637,0.61422972,0.063635153,0.001033862,0.00023089,3.01975E-06,5.69957E-07,762.7285544,124.0584335,12.85264647,0.208813338,0.046633854,0.00060991,0.000115117
BUTLER,1/1/19,NY005001130,113,113,435,435,NY005362,FEDERAL,CONVENTIONAL,NEW CONST,,1476,1492,7217,4.89,,4297,4297,446,0.304,6,1,7,21,558096,12.81,558096,12.81,88255,13527100,0.1581,335,29633000,4068,507,E 169TH ST,E 171ST ST,WEBSTER AVE,PARK AVE,BRONX,3,15,33,79,16,12/31/64,1995/07/13-PTA,,,,3.69,0.9594,0.182286,0.01276002,0.000893201,0.000285824,2.85824E-06,2.2866E-07,20.19537,3.28479372,0.340309733,0.005528917,0.001234762,1.61491E-05,3.04803E-06,4078.93966,663.4429268,68.73371809,1.116697415,0.249389743,0.003261695,0.000615623
CAMPOS PLAZA II,1/1/19,NY005012570,286,337,593,593,NY005264,FEDERAL,CONVENTIONAL,NEW CONST,,224,224,1088,4.86,,508,508,105,0.469,2,0,3,43725,93155,2.14,93155,2.14,29149,2470285,0.3129,237,17601547,16193,627,AVENUE B,E 14TH ST,AVENUE C,E 13TH ST,MANHATTAN,3,12,27,74,2,4/30/83,,,YES,,0.56,0.1456,0.027664,0.00193648,0.000135554,4.33772E-05,4.33772E-07,3.47017E-08,3.06488,0.49850528,0.051645922,0.000839077,0.000187389,2.45081E-06,4.62574E-07,619.0260731,100.6851054,10.43113337,0.169471694,0.037847766,0.000495,9.34279E-05
CAREY GARDENS,1/1/19,NY005011660,166,166,288,288,NY005088,FEDERAL,CONVENTIONAL,NEW CONST,,682,683,3095,4.54,,1632,1632,284,0.419,3,2,5,15-17,364406,8.37,364406,8.37,58078,6234149,0.1594,195,16996504,5476,486,W 24TH ST,NEPTUNE AVE,W 22ND ST,SURF AVE,BROOKLYN,13,8,23,46,47,11/30/70,,,,,1.705,0.4433,0.084227,0.00589589,0.000412712,0.000132068,1.32068E-06,1.05654E-07,9.331465,1.51777054,0.157243386,0.002554689,0.000570533,7.46184E-06,1.40837E-06,1884.713312,306.550187,31.7590757,0.515980784,0.11523293,0.001507097,0.000284455
CARLETON MANOR,1/1/19,NY005010750,164,75,270,226,NY005073,FEDERAL,CONVENTIONAL,NEW CONST,,169,174,728.5,4.31,,357,357,53,0.315,1,0,1,11,145011,3.33,145011,3.33,14051,1386194,0.0969,107,3373126,4498,506,ROCKAWAY FRWY,BEACH CHANNEL DR,,,QUEENS,14,5,10,31,31,3/31/67,,,,,0.4225,0.10985,0.0208715,0.001461005,0.00010227,3.27265E-05,3.27265E-07,2.61812E-08,2.3123425,0.37610443,0.038965003,0.000633053,0.000141379,1.84905E-06,3.48996E-07,467.0330641,75.96331614,7.869917587,0.127860341,0.028554788,0.00037346,7.0488E-05
CARVER,1/1/19,NY005000580,58,58,534,534,NY005220E,FEDERAL,CONVENTIONAL,NEW CONST,,1244,1246,5761,4.63,,2586,2586,502,0.41,13,0,13,43631,637132,14.63,594887,13.66,97568,10275141,0.1531,177,24155000,4145,590,E 99TH ST,PARK AVE,MADISON AVE,E 106TH ST,MANHATTAN,11,13,30,68,8,2/14/58,1978/07/01-ATP 3,,,,3.11,0.8086,0.153634,0.01075438,0.000752807,0.000240898,2.40898E-06,1.92718E-07,17.02103,2.76848468,0.286819315,0.004659873,0.00104068,1.36107E-05,2.56894E-06,3437.805513,559.1619248,57.93004425,0.94117316,0.210190271,0.002749016,0.000518859
CASSIDY-LAFAYETTE,1/1/19,NY005011170,206,117,319,241,NY005122,FEDERAL,TURNKEY,NEW CONST (ELD),,378,380,1248,3.3,,439,439,323,0.878,4,1,5,6,224294,5.15,224294,5.15,54589,2858593,0.2434,85,6866904,5315,323,CASSIDY PL,FILLMORE ST,LAFAYETTE AVE,CLINTON AVE,STATEN ISLAND,1,11,23,61,49,9/30/71,,EXCLUSIVELY,,,0.945,0.2457,0.046683,0.00326781,0.000228747,7.31989E-05,7.31989E-07,5.85592E-08,5.171985,0.84122766,0.087152493,0.001415942,0.000316219,4.13574E-06,7.80594E-07,1044.606498,169.9061154,17.60253756,0.285983484,0.063868105,0.000835312,0.00015766
CASTLE HILL,1/1/19,NY005020800,80,80,431,431,NY005371,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,406,2022,2025,9759,4.83,1151,3729,4880,796,0.401,14,0,14,43819,1801346,41.35,1757585,40.35,176917,19247987,0.0982,118,28454000,2915,485,OLMSTEAD AVE,HAVEMEYER AVE,LACOMBE AVE,CINCINNATUS AVE,BRONX,9,15,32,87,18,12/15/60,,,,,5.055,1.3143,0.249717,0.01748019,0.001223613,0.000391556,3.91556E-06,3.13245E-07,27.666015,4.49990034,0.466196667,0.007574166,0.001691523,2.21229E-05,4.17556E-06,5587.815714,908.8628713,94.15960568,1.52978467,0.341643672,0.004468256,0.000843354
CHELSEA,1/1/19,NY005021340,134,134,446,446,NY005372,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,68,425,425,1914.5,4.5,177,733,910,181,0.43,2,0,4,21,74488,1.71,74488,1.71,18557,3689065,0.2491,532,8776000,4584,583,W 25TH ST,W 26TH ST,NINTH AVE,,MANHATTAN,4,10,27,75,3,5/31/64,,,,,1.0625,0.27625,0.0524875,0.003674125,0.000257189,8.23004E-05,8.23004E-07,6.58403E-08,5.8150625,0.94582475,0.097988914,0.001591998,0.000355538,4.64997E-06,8.77651E-07,1174.491433,191.0320081,19.79121287,0.321542277,0.071809377,0.000939174,0.000177263
CHELSEA ADDITION,1/1/19,NY005011340,176,134,451,451,NY005361,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,96,96,336,3.5,,114,114,88,0.926,1,0,1,14,44921,1.03,44921,1.03,14475,1021739,0.3222,111,2402000,7149,337,CHELSEA PARK,W 26TH ST,TENTH AVE,,MANHATTAN,4,10,31,75,3,4/30/68,1995/07/13-PTA,EXCLUSIVELY,,,0.24,0.0624,0.011856,0.00082992,5.80944E-05,1.85902E-05,1.85902E-07,1.48722E-08,1.31352,0.21364512,0.022133966,0.000359604,8.03097E-05,1.05035E-06,1.98246E-07,265.2968885,43.15075947,4.47048573,0.072630726,0.016220471,0.000212143,4.00405E-05
CLAREMONT PARKWAY-FRANKLIN AVENUE,1/1/19,NY005013420,334,342,779,753,NY005253,FEDERAL,TURNKEY,NEW CONST,,187,188,729.5,3.9,,279,279,130,0.707,3,0,13,43531,134390,3.09,134390,3.09,35258,1584850,0.2624,90,12645913,17252,403,CLAREMONT PKWY,FULTON AVE,E 171ST ST,THIRD AVE,BRONX,3,15,33,79,16,12/16/86,,PARTIALLY,YES,,0.4675,0.12155,0.0230945,0.001616615,0.000113163,3.62122E-05,3.62122E-07,2.89697E-08,2.5586275,0.41616289,0.043115122,0.000700479,0.000156437,2.04599E-06,3.86167E-07,516.7762307,84.05408354,8.708133661,0.141478602,0.031596126,0.000413236,7.79956E-05
CLAREMONT REHAB (GROUP 2),1/1/19,NY005013080,307,308,330,750,NY005246,FEDERAL,TURNKEY,REHAB,,106,107,455,4.29,,251,251,35,0.337,6,0,6,43591,31874,0.73,31874,0.73,21948,3488634,0.6886,344,11430362,24822,457,CLAY AVE,E 169TH ST,WEBSTER AVE,E 166TH ST,BRONX,4,15,32,77,16,12/31/87,,,YES,,0.265,0.0689,0.013091,0.00091637,6.41459E-05,2.05267E-05,2.05267E-07,1.64214E-08,1.450345,0.23589982,0.024439588,0.000397063,8.86753E-05,1.15976E-06,2.18897E-07,292.931981,47.64563024,4.936161327,0.080196427,0.017910103,0.000234241,4.42114E-05
CLAREMONT REHAB (GROUP 3),1/1/19,NY005013080,308,308,750,750,NY005223,FEDERAL,TURNKEY,REHAB,,107,115,470.5,4.4,,263,263,27,0.252,5,0,5,5,35423,0.81,35423,0.81,21985,1538950,0.6206,325,7234594,14061,495,E 167TH ST,TELLER AVE,E 165TH ST,FINDLAY AVE,BRONX,4,15,32,77,16,2/28/85,,,YES,,0.2675,0.06955,0.0132145,0.000925015,6.47511E-05,2.07203E-05,2.07203E-07,1.65763E-08,1.4640275,0.23812529,0.02467015,0.000400809,8.95119E-05,1.1707E-06,2.20962E-07,295.6954903,48.09511732,4.982728886,0.080952997,0.018079067,0.000236451,4.46285E-05
CLAREMONT REHAB (GROUP 4),1/1/19,NY005013080,335,308,751,750,NY005273,FEDERAL,TURNKEY,REHAB,,147,150,647.5,4.4,,342,342,50,0.34,9,0,9,43560,45636,1.05,45636,1.05,29519,2656710,0.6468,326,10283674,15605,464,E 169TH ST,CLAY AVE,E 165TH ST,FINDLAY AVE,BRONX,4,15,32,77,16,10/23/86,,,YES,,0.3675,0.09555,0.0181545,0.001270815,8.89571E-05,2.84663E-05,2.84663E-07,2.2773E-08,2.0113275,0.32714409,0.033892636,0.000550644,0.000122974,1.60834E-06,3.03564E-07,406.2358605,66.07460043,6.845431274,0.111215799,0.024837596,0.000324844,6.13121E-05
CLAREMONT REHAB (GROUP 5),1/1/19,NY005013080,336,308,752,750,NY005274,FEDERAL,TURNKEY,REHAB,,129,135,560.5,4.34,,304,304,40,0.31,3,0,3,5,53898,1.24,53898,1.24,28605,2927721,0.5307,245,8551169,14555,506,COLLEGE AVE,E 167TH ST,FINDLAY AVE,E 166TH ST,BRONX,4,15,32,77,16,11/30/85,,,YES,,0.3225,0.08385,0.0159315,0.001115205,7.80644E-05,2.49806E-05,2.49806E-07,1.99845E-08,1.7650425,0.28708563,0.029742517,0.000483218,0.000107916,1.4114E-06,2.66393E-07,356.4926939,57.98383303,6.007215199,0.097597538,0.021796258,0.000285067,5.38045E-05
CLASON POINT GARDENS,1/1/19,NY005012800,11,280,208,506,NY005007,FEDERAL,CONVENTIONAL,NEW CONST,,401,401,1893.5,4.72,,861,861,173,0.438,46,0,192,2,742013,17.03,742013,17.03,154304,3388939,0.208,51,2067000,1116,612,STORY AVE,SEWARD AVE,NOBLE AVE,METCALF AVE,BRONX,9,15,34,85,18,12/20/41,,,,,1.0025,0.26065,0.0495235,0.003466645,0.000242665,7.76528E-05,7.76528E-07,6.21223E-08,5.4866825,0.89241347,0.092455422,0.001502097,0.00033546,4.38739E-06,8.2809E-07,1108.167211,180.2443182,18.67359143,0.303384596,0.067754259,0.000886138,0.000167253
CLINTON,1/1/19,NY005001230,123,123,245,245,NY005045,FEDERAL,CONVENTIONAL,NEW CONST,,748,749,3523,4.71,,1720,1720,330,0.45,6,2,8,43726,243770,5.6,232673,5.34,51879,6740935,0.2128,307,16774779,4756,529,PARK & LEX AVES,"E 104TH,106TH STS",E 108TH ST,E 110TH ST,MANHATTAN,11,13,30,68,8,10/31/65,,,,,1.87,0.4862,0.092378,0.00646646,0.000452652,0.000144849,1.44849E-06,1.15879E-07,10.23451,1.66465156,0.172460488,0.002801917,0.000625746,8.18395E-06,1.54467E-06,2067.104923,336.2163342,34.83253464,0.565914408,0.126384504,0.001652945,0.000311982
COLLEGE AVENUE-EAST 165TH STREET,1/1/19,NY005013080,236,308,351,344,NY005148,FEDERAL,TURNKEY,NEW CONST (ELD),,95,95,307.5,3.24,,102,102,84,0.894,1,0,1,6,22146,0.51,22146,0.51,10022,784399,0.4525,200,2518156,7869,288,E 166TH ST,FINDLAY AVE,E 165TH ST,COLLEGE AVE,BRONX,4,15,32,77,16,7/31/72,,EXCLUSIVELY,,,0.2375,0.06175,0.0117325,0.000821275,5.74893E-05,1.83966E-05,1.83966E-07,1.47172E-08,1.2998375,0.21141965,0.021903404,0.000355858,7.94731E-05,1.03941E-06,1.96181E-07,262.5333792,42.70127239,4.42391817,0.071874156,0.016051508,0.000209933,3.96234E-05
CONEY ISLAND,1/1/19,NY005011700,94,170,671,671,NY005363,FEDERAL,CONVENTIONAL,NEW CONST,,530,534,2426,4.58,,1121,1121,211,0.401,5,0,5,14,298874,6.86,239429,5.5,38119,4912800,0.1275,163,7728534,3165,599,SURF AVE,W 32ND ST,RIEGELMANN BRDWK,W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/57,1995/07/13-PTA,,,,1.325,0.3445,0.065455,0.00458185,0.00032073,0.000102633,1.02633E-06,8.21068E-08,7.251725,1.1794991,0.12219794,0.001985316,0.000443376,5.79879E-06,1.09448E-06,1464.659905,238.2281512,24.68080663,0.400982134,0.089550517,0.001171205,0.000221057
CONEY ISLAND I (SITE 1B),1/1/19,NY005011660,239,166,335,288,NY005161,FEDERAL,TURNKEY,NEW CONST,,192,193,952,4.96,,512,512,73,0.382,1,0,1,18,93061,2.14,93061,2.14,14078,1876990,0.1513,239,7531412,7829,552,W 20TH ST,W 21ST ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/73,,,,,0.48,0.1248,0.023712,0.00165984,0.000116189,3.71804E-05,3.71804E-07,2.97443E-08,2.62704,0.42729024,0.044267933,0.000719209,0.000160619,2.10069E-06,3.96492E-07,530.593777,86.30151893,8.940971459,0.145261452,0.032440942,0.000424285,8.00811E-05
CONEY ISLAND I (SITE 8),1/1/19,NY005011720,238,172,334,334,NY005157,FEDERAL,TURNKEY,NEW CONST,,124,125,626,5.05,,361,361,37,0.306,1,0,2,14,61483,1.41,61483,1.41,11970,1187936,0.1947,256,5853893,9255,559,W 35TH ST,W 36TH ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/73,,,,,0.31,0.0806,0.015314,0.00107198,7.50386E-05,2.40124E-05,2.40124E-07,1.92099E-08,1.69663,0.27595828,0.028589707,0.000464489,0.000103733,1.3567E-06,2.56068E-07,342.6751476,55.73639764,5.774377401,0.093814688,0.020951442,0.000274018,5.1719E-05
CONEY ISLAND I (SITES 4 & 5),1/1/19,NY005011700,216,170,328,278,NY005123,FEDERAL,TURNKEY,NEW CONST,,376,376,1879,5,,1029,1029,103,0.279,1,1,6,17,187318,4.3,187318,4.3,38750,4017326,0.2069,239,16603000,8808,595,MERMAID AVE,W 25TH ST,SURF AVE,W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/74,,,,,0.94,0.2444,0.046436,0.00325052,0.000227536,7.28116E-05,7.28116E-07,5.82493E-08,5.14462,0.83677672,0.086691368,0.00140845,0.000314546,4.11386E-06,7.76463E-07,1039.07948,169.0071412,17.50940244,0.284470344,0.063530178,0.000830892,0.000156825
