DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,RAD/PACT,UNITS,STORIES,CYEAR,FYEAR,STATUS,COST,ESTIMATE,FUNDING,IMPL_METHOD
FORT WASHINGTON AVENUE REHAB,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,7,,,, $-   ,"$7,695.89 ",,
FULTON,MANHATTAN,Enlarge Hopper Door,FEDERAL,,19,43641,,,, $-   ,"$146,221.93 ",,
GARVEY (GROUP A),BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,"2, 6-14",,,, $-   ,"$42,383.17 ",,
GLEBE AVENUE-WESTCHESTER AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,6,,,, $-   ,"$8,476.63 ",,
GLENMORE PLAZA,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,45583,,,, $-   ,"$39,780.69 ",,
GLENWOOD,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,40,6,,,, $-   ,"$349,475.24 ",,
GOWANUS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,24,4-6-9-13-14,,,, $-   ,"$209,685.15 ",,
GRAMPION,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,7,,,, $-   ,"$7,695.89 ",,
GRANT,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,9,13-21,,,, $-   ,"$66,920.79 ",,
GRAVESEND,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,15,7,,,, $-   ,"$131,053.22 ",,
GUN HILL,BRONX,Enlarge Hopper Door,FEDERAL,,6,14,,,, $-   ,"$52,421.29 ",,
HAMMEL,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,14,7,,,, $-   ,"$118,672.87 ",,
HARBORVIEW TERRACE,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,14-15,,,, $-   ,"$16,953.27 ",,
HARLEM RIVER,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,47,43560,,,, $-   ,"$361,706.88 ",,
HARLEM RIVER II,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,15,,,, $-   ,"$7,435.64 ",,
HARRISON AVENUE REHAB (GROUP A),BRONX,Enlarge Hopper Door,FEDERAL,,1,5,,,, $-   ,"$8,736.88 ",,
HARRISON AVENUE REHAB (GROUP B),BRONX,Enlarge Hopper Door,FEDERAL,,4,43591,,,, $-   ,"$34,947.52 ",,
HIGHBRIDGE GARDENS,BRONX,Enlarge Hopper Door,FEDERAL,,6,13-14,,,, $-   ,"$46,175.35 ",,
HOE AVENUE-EAST 173RD STREET,BRONX,Enlarge Hopper Door,FEDERAL,,1,6,,,, $-   ,"$8,476.63 ",,
HOLMES TOWERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,25,,,, $-   ,"$17,473.76 ",,
HOWARD,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,16,43659,,,, $-   ,"$127,298.22 ",,
HOWARD AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,0,3,,,, $-   , $-   ,,
HOWARD AVENUE-PARK PLACE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,0,3,,,, $-   , $-   ,,
HUGHES APARTMENTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,22,,,, $-   ,"$26,210.64 ",,
HUNTS POINT AVENUE REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,1,43560,,,, $-   ,"$8,476.63 ",,
INDEPENDENCE,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2019,6,21,,,, $-   ,"$52,421.29 ",,
INGERSOLL,BROOKLYN,Enlarge Hopper Door,FEDERAL,,45,43627,,,, $-   ,"$358,026.23 ",,
ISAACS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,3,24,,,, $-   ,"$26,210.64 ",,
JEFFERSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,34,41833,,,, $-   ,"$261,660.29 ",,
JOHNSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,17,14,,,, $-   ,"$126,405.94 ",,
KING TOWERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,10,13-14,,,, $-   ,"$74,356.44 ",,
KINGSBOROUGH,BROOKLYN,Enlarge Hopper Door,FEDERAL,,35,6,,,, $-   ,"$269,356.19 ",,
LATIMER GARDENS,QUEENS,Enlarge Hopper Door,FEDERAL,,4,10,,,, $-   ,"$34,947.52 ",,
