Consolidation,Borough,Acres,DU,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
CLINTON,Manhattan Property Management,5.34,748,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,9,10,11,5,5,4,3,2,2,28,28
COOPER PARK,Brooklyn Property Management,11.39,700,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,8,9,11,5,5,3,3,2,2,26,28
CYPRESS HILLS CONSOLIDATED,Brooklyn Property Management,30.96,"1,505",1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,19,21,22,5,5,7,7,2,2,46,47
DOUGLASS CONSOLIDATED,Manhattan Property Management,21.03,"2,347",1,1,2,2,1,1,2,2,1,1,6,6,2,2,2,34,36,34,5,5,10,10,3,3,69,67
DREW-HAMILTON CONSOLIDATED,Mixed Finance Conventional,6.71,"1,211",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,19,20,18,5,5,6,5,2,2,42,39
DYCKMAN,Manhattan Property Management,13.09,"1,167",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,14,16,17,5,5,6,5,2,2,38,38
East River CONSOLIDATED,Next Generation Operations One,10.71,"1,156",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,15,16,17,5,5,5,5,2,2,37,38
EASTCHESTER GARDENS CONSOLIDATED,Bronx Property Management,15.07,"1,054",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,13,14,16,5,5,5,5,2,2,35,37
EDENWALD,Bronx Property Management,46.44,"2,035",1,1,2,2,1,1,2,2,1,1,5,5,2,2,3,29,32,29,5,5,9,9,3,3,63,60
FARRAGUT,Brooklyn Property Management,16.61,"1,389",1,1,1,1,1,1,2,2,1,1,3,3,1,1,1,19,20,20,5,5,6,6,2,2,43,43
FOREST CONSOLIDATION,Bronx Property Management,22.09,"2,028",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,28,30,29,6,5,8,9,2,3,60,60
FORT INDEPENDENCE CONSOLIDATED,Bronx Property Management,5.71,574,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,9,5,5,3,3,2,2,25,26
FT. WASHINGTON CONSOLIDATED,Manhattan Property Management,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
FULTON,Manhattan Property Management,4.92,944,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,14,5,5,5,4,2,2,31,32
GARVEY CONSOLIDATED,Brooklyn Property Management,5.56,520,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,9,10,8,5,5,3,2,2,2,27,24
GLENWOOD,Brooklyn Property Management,21.01,"1,186",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,15,17,17,5,5,5,5,2,2,38,38
GOMPERS CONSOLIDATED,Manhattan Property Management,10.85,"1,506",1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,21,22,22,5,5,7,7,2,2,48,47
GOWANUS,Brooklyn Property Management,11.53,"1,137",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,15,16,17,5,5,5,5,2,2,37,38
GRANT,Manhattan Property Management,15.05,"1,939",1,1,2,2,1,1,2,2,1,1,5,5,2,2,1,25,26,28,5,5,8,9,2,2,55,58
GUN HILL,Bronx Property Management,7.21,732,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,9,10,11,5,5,3,3,2,2,27,28
HAMMEL CONSOLIDATED,Queens\Staten Island Property Management,16.48,879,1,1,0,0,1,1,1,1,1,1,2,2,1,1,2,10,12,13,5,5,4,4,2,2,30,31
HARLEM RIVER CONSOLIDATED,Manhattan Property Management,10.4,"1,247",1,1,1,1,1,1,2,1,1,1,3,3,1,1,2,16,18,18,5,5,5,5,2,2,40,39
HIGHBRIDGE GARDENS,Bronx Property Management,11.41,700,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,8,9,11,5,5,3,3,2,2,26,28
Howard,Next Generation Operations One,14.26,813,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,10,11,12,5,5,4,4,2,2,29,30
LANGSTON HUGHES CONSOLIDATED,Next Generation Operations One,5.56,509,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,2,2,2,2,24,24
INGERSOLL,Brooklyn Property Management,18.65567,"1,830",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,25,27,26,5,5,7,8,2,2,55,55
ISAACS CONSOLIDATED,Manhattan Property Management,6.59,"1,320",1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,17,18,19,5,5,6,6,2,2,40,42
JACKIE ROBINSON CONSOLIDATED,Manhattan Property Management,4.22,614,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,10,5,5,3,3,2,2,25,27
JEFFERSON CONSOLIDATED,Next Generation Operations One,18.11,"1,657",1,1,1,1,1,1,2,2,1,1,4,4,2,2,1,24,25,24,5,5,8,7,2,2,52,50
JOHNSON,Manhattan Property Management,10.48,"1,296",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,16,18,19,5,5,5,6,2,2,39,41
SOTOMAYOR HOUSES CONSOLIDATED,Bronx Property Management,32.77,"1,722",1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,22,25,25,5,5,8,8,2,2,52,52
KING TOWERS CONSOLIDATED,Manhattan Property Management,12.75,"1,377",1,1,1,1,1,1,2,2,1,1,4,3,1,1,1,20,21,20,5,5,7,6,2,2,46,43
KINGSBOROUGH CONSOLIDATED,Brooklyn Property Management,16.73,"1,336",1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,19,20,20,5,5,5,6,2,2,41,43
LA GUARDIA CONSOLIDATED,Manhattan Property Management,10.87,"1,490",1,1,1,1,1,1,1,2,1,1,4,4,1,1,1,20,21,22,5,5,6,7,2,2,44,47
LAFAYETTE,Brooklyn Property Management,7,882,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,13,5,5,4,4,2,2,30,31
LATIMER GARDENS CONSOLIDATED,Queens\Staten Island Property Management,10.28,918,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,12,13,14,5,5,4,4,2,2,31,32
LEHMAN VILLAGE,Manhattan Property Management,4.07,617,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,10,5,5,3,3,2,2,25,27
LINCOLN,Next Generation Operations One,11.67,"1,280",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,17,18,19,5,5,6,6,2,2,40,41
LINDEN,Non-Tax Credit LLC,29.83,"1,586",1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,22,24,23,5,5,7,7,2,2,49,48
LOWER EAST SIDE CONSOLIDATED,Manhattan Property Management,6.51,477,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,8,5,5,4,2,2,2,30,24
MANHATTANVILLE CONSOLIDATED,Mixed Finance Conventional,12.36,"1,272",1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,19,20,19,5,5,6,6,2,2,43,41
MARBLE HILL,Tax Credit LLC,14.98,"1,680",1,1,1,1,1,1,2,2,1,1,4,4,2,2,1,24,25,24,5,5,7,7,2,2,51,50
MARCY,Brooklyn Property Management,25.29,"1,716",1,1,1,1,1,1,2,2,1,1,4,4,2,2,2,23,25,25,5,5,7,8,2,2,51,52
MARINER'S HARBOR,Queens\Staten Island Property Management,18.74,606,1,1,0,0,1,1,1,1,1,1,2,2,1,1,2,9,11,9,3,5,3,3,2,2,26,26
MARLBORO,Tax Credit LLC,33.79,"1,764",1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,25,28,26,5,5,8,8,2,2,55,53
MELROSE CONSOLIDATED,Next Generation Operations One,12.88,"1,242",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,16,17,18,5,5,5,5,2,2,38,39
MILL BROOK CONSOLIDATED,Next Generation Operations One,11.156639,"1,376",1,1,1,1,1,1,2,2,1,1,3,3,2,1,1,19,20,20,5,5,6,6,2,2,44,43
MITCHEL CONSOLIDATED,Next Generation Operations One,15.01,"1,732",1,1,1,1,1,1,2,2,1,1,4,4,2,2,1,24,25,25,5,5,8,8,2,2,52,52
MONROE,Bronx Property Management,18.49,"1,100",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,14,15,16,5,5,5,5,2,2,36,37
MORRIS CONSOLIDATED,Bronx Property Management,16.77,"1,885",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,24,26,27,5,5,8,8,2,2,55,56
MORRISANIA AIR RIGHTS CONSOLIDATED,Bronx Property Management,14.18,"1,709",1,1,1,1,1,1,2,2,1,1,4,4,2,2,1,24,25,25,5,5,7,8,2,2,51,52
MOTT HAVEN,Next Generation Operations One,8.88,992,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,13,14,15,5,5,4,4,2,2,32,33
MURPHY CONSOLIDATED,Bronx Property Management,5.47,676,1,1,0,0,1,1,1,1,1,1,2,2,1,1,2,9,11,10,5,5,3,3,2,2,28,27
OCEAN HILL CONSOLIDATED,Brooklyn Property Management,3.85,363,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,8,9,6,5,5,2,2,2,2,25,22
O'DWYER GARDENS CONSOLIDATED,Brooklyn Property Management,20.16,"1,321",1,1,1,1,1,1,2,2,1,1,3,3,1,1,1,19,20,19,5,5,6,6,2,2,43,42
PARK ROCK CONSOLIDATED,Brooklyn Property Management,17.82,891,1,1,1,0,1,1,2,1,1,1,2,2,1,1,1,14,15,13,5,5,5,4,2,2,36,31
PARKSIDE,Bronx Property Management,10.4,879,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,10,11,13,5,5,4,4,2,2,29,31
PATTERSON,Next Generation Operations One,16.12,"1,789",1,1,2,2,1,1,2,2,1,1,4,4,2,2,1,25,26,26,5,5,8,8,2,2,54,54
PELHAM PARKWAY CONSOLIDATED,Bronx Property Management,24.15,"1,497",1,1,1,1,1,1,2,2,1,1,4,4,2,1,2,21,23,22,5,5,6,7,2,2,48,47
PENNSYLVANIA AVENUE-WORTMAN AVENUE CONSOLIDATED,Brooklyn Property Management,11.32,624,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,10,5,5,3,3,2,2,25,27
PINK,Brooklyn Property Management,30.1,"1,500",1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,20,23,22,5,5,6,7,2,2,47,47
POLO GROUNDS TOWERS,Manhattan Property Management,15.15,"1,614",1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,22,23,23,5,5,7,7,2,2,49,48
POMONOK,Queens\Staten Island Property Management,47.83,"2,069",1,1,2,2,1,1,2,2,1,1,5,5,2,2,3,29,32,30,5,5,9,9,3,3,63,61
QUEENSBRIDGE NORTH,Queens\Staten Island Property Management,15.84,"1,542",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,22,23,22,5,5,7,7,2,2,48,47
QUEENSBRIDGE SOUTH,Queens\Staten Island Property Management,18.84,"1,603",1,1,1,1,1,1,2,2,1,1,4,4,2,2,2,23,25,23,5,5,7,7,2,2,51,49
RANGEL,Manhattan Property Management,10.92,982,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,12,13,15,5,5,4,4,2,2,32,33
RAVENSWOOD,Queens\Staten Island Property Management,35.29,"2,164",1,1,2,2,1,1,2,2,1,1,5,5,2,2,3,31,34,31,5,5,9,10,3,3,65,63
RED HOOK EAST,Brooklyn Property Management,19.65,"1,404",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,19,20,21,5,5,6,6,2,2,44,45
RED HOOK WEST,Brooklyn Property Management,19.32,"1,471",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,19,20,21,5,5,6,6,2,2,44,45
REDFERN,Queens\Staten Island Property Management,16.67,599,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,9,5,5,3,3,2,2,25,26
REID APARTMENTS CONSOLIDATED,Brooklyn Property Management,7.55,800,1,1,1,0,1,1,2,1,1,1,3,2,1,1,1,10,11,12,5,5,4,4,2,2,32,30
RICHMOND TERRACE CONSOLIDATED,Queens\Staten Island Property Management,15.27,866,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,13,5,5,4,4,2,2,30,31
RIIS CONSOLIDATED,Manhattan Property Management,17.67,"1,768",1,1,1,1,1,1,2,2,1,1,4,4,2,2,1,24,25,26,5,5,8,8,2,2,52,53
ROOSEVELT CONSOLIDATED,Brooklyn Property Management,11.17,"1,103",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,13,14,16,6,5,5,5,2,2,36,37
RUTGERS,Tax Credit LLC,5.22,721,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,9,10,11,5,5,3,3,2,2,27,28
SACK WERN CONSOLIDATED,Bronx Property Management,22.24,812,1,1,0,0,1,1,1,1,1,1,2,2,1,1,2,10,12,12,5,5,4,4,2,2,30,30
SAINT MARY'S PARK CONSOLIDATED,Mixed Finance Conventional,15.22,"1,468",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,23,24,21,3,5,6,6,2,2,46,45
SAINT NICHOLAS,Manhattan Property Management,14.36,"1,525",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,20,21,22,5,5,7,7,2,2,46,47
FREDERICK SAMUEL (CITY),Tax Credit LLC,4.63,664,1,1,0,0,1,1,1,1,0,0,2,2,2,1,1,8,9,10,5,5,3,3,2,2,26,26
SEDGWICK CONSOLIDATED,Bronx Property Management,8.16,931,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,12,13,14,5,5,4,4,2,2,31,32
SETH LOW CONSOLIDATED,Next Generation Operations One,10.16,973,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,12,13,15,5,5,4,4,2,2,31,33
SHEEPSHEAD BAY CONSOLIDATED,Brooklyn Property Management,45.69,"2,200",1,1,2,2,1,1,2,2,1,1,6,6,2,2,3,29,32,32,5,5,9,10,3,3,64,65
SMITH,Manhattan Property Management,18.51,"1,934",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,27,29,28,5,5,9,9,2,2,59,58
SOUNDVIEW,Bronx Property Management,24.72,"1,258",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,18,20,18,5,5,5,6,2,2,41,40
SOUTH BEACH CONSOLIDATED,Queens\Staten Island Property Management,17.44,697,1,1,0,0,1,1,1,1,1,1,3,2,1,1,1,8,9,11,5,5,3,3,2,2,27,28
SOUTH JAMAICA CONSOLIDATED,Queens\Staten Island Property Management,22.3779217,"1,046",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,13,15,16,5,5,5,5,2,2,36,37
STAPLETON,Tax Credit LLC,14.03,693,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,8,9,11,5,5,3,3,2,2,26,28
Straus Consolidated,Mixed Finance Conventional,1.06,267,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,5,5,5,2,1,2,2,24,20
STUYVESANT GARDENS CONSOLIDATED,Brooklyn Property Management,6.25,479,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,3,2,2,2,25,24
SUMNER CONSOLIDATED,Brooklyn Property Management,23.92,"1,416",1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,20,22,21,5,5,6,6,2,2,46,45
SURFSIDE GARDENS CONSOLIDATED,Brooklyn Property Management,17.22,"1,500",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,21,22,22,5,5,7,7,2,2,47,47
TAFT CONSOLIDATED,Manhattan Property Management,13.01,"1,561",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,20,21,23,6,5,8,7,2,2,48,48
TAYLOR-WYTHE CONSOLIDATED,Mixed Finance Conventional,4.2,525,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,3,5,2,2,2,2,22,24
THROGGS NECK CONSOLIDATED,Bronx Property Management,46.95,"1,720",1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,24,27,25,5,5,8,8,2,2,54,52
Tilden,Next Generation Operations One,10.69,998,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,13,14,15,5,5,4,4,2,2,32,33
TODT HILL,Queens\Staten Island Property Management,12.21,502,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,2,2,2,2,24,24
TOMPKINS CONSOLIDATED,Brooklyn Property Management,11.98,"1,045",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,13,14,16,5,5,5,5,2,2,35,37
UNION AVENUE CONSOLIDATED,Bronx Property Management,16.17,912,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,15,16,14,5,5,4,4,2,2,34,32
UNITY PLAZA CONSOLIDATED,Next Generation Operations One,11.56,"1,014",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,13,14,15,5,5,4,4,2,2,34,35
VAN DYKE I,Next Generation Operations One,19.39,"1,603",1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,23,24,23,5,5,7,7,3,2,51,48
VLADECK CONSOLIDATED,Manhattan Property Management,14.15,"1,767",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,23,24,26,7,5,7,8,2,2,51,52
WAGNER CONSOLIDATED,Next Generation Operations One,24.88,"2,151",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,31,33,31,5,5,9,9,3,3,64,62
WALD,Manhattan Property Management,15.93,"1,861",1,1,2,2,1,1,2,2,1,1,5,5,2,2,1,26,27,27,5,5,7,8,2,2,55,56
WASHINGTON CONSOLIDATED,Manhattan Property Management,22.36,"1,963",1,1,2,2,1,1,2,2,1,1,5,5,2,2,2,28,30,28,5,5,8,9,2,2,59,58
WEBSTER CONSOLIDATED,Bronx Property Management,5.93,812,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,10,11,12,5,5,4,4,2,2,29,30
WEST BRIGHTON CONSOLIDATED,Queens\Staten Island Property Management,12.62,607,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,9,5,5,3,3,2,2,25,26
WHITMAN,Brooklyn Property Management,17.09,"1,651",1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,23,24,24,5,5,7,7,2,2,50,49
WILLIAMS PLAZA,Non-Tax Credit LLC,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
WILLIAMSBURG,Brooklyn Property Management,21.28,"1,627",1,1,1,1,1,1,2,2,1,1,4,4,2,2,2,23,25,24,5,5,7,7,2,2,51,50
WILSON CONSOLIDATED,Next Generation Operations One,6.16,915,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,14,5,5,4,4,2,2,30,32
WISE TOWERS CONSOLIDATED,Mixed Finance Conventional,4.43,"1,327",1,1,1,1,1,1,2,2,1,1,3,3,1,1,1,19,20,19,5,5,6,6,2,2,43,42
WOODSIDE,Queens\Staten Island Property Management,22.3,"1,355",1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,19,21,20,5,5,6,6,2,2,44,43
WOODSON CONSOLIDATED,Next Generation Operations One,3.23,518,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,2,2,2,2,24,24
WYCKOFF GARDENS CONSOLIDATED,Brooklyn Property Management,7.83,827,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,10,11,12,5,5,4,4,2,2,29,30
